analise_dimensional,similaridade_semantica,classificacao,detalhes_criticos,justificativa_final,repo,file1,file2
"{'overlap_de_regras': 0.5, 'especializacao': 0.8, 'risco_de_conflito': 0.1}",60,Complementares,"{'redundancias': ['comandos técnicos repetidos ou contraditórios'], 'conflitos': [], 'valor_agregado': 'Os dois arquivos têm uma especialização única.'}","A análise revelou que os arquivos têm regras repetidas e conflitas mínimos, mas não há valores agregados únicos entre eles.",microsoft/vscode,AGENTS.md,COPILOT
"{'overlap_de_regras': 0.9, 'especializacao': 0.5, 'risco_de_conflito': 0.1}",80,Conflitantes,"{'redundancias': ['instruções técnicas repetidas ou contraditórias'], 'conflitos': ['comandos como ""sempre use Python"" e ""não use comentários""'], 'valor_agregado': 'Os dois arquivos apresentam instruções que se contradizem, o que sugere a necessidade de revisão e ajuste para evitar conflitos desnecessários.'}","Os arquivos apresentam instruções técnicas repetidas ou contraditórias, o que pode gerar problemas de execução e manutenção. Portanto, é recomendável revisar e ajustar as instruções para evitar conflitos desnecessários.",microsoft/typescript,AGENTS.md,COPILOT
"{'overlap_de_regras': 0.5, 'especializacao': 0.1, 'risco_de_conflito': 0.2}",70,Redundantes,"{'redundancias': ['Comandos de sincronização repetidos'], 'conflitos': [], 'valor_agregado': 'O Arquivo B foca em um workflow específico e os comandos repetidos podem ser otimizados ou eliminados sem comprometer a funcionalidade.'}","Os dois arquivos apresentam uma grande semelhança em termos de regras e instruções, mas o Arquivo B oferece um workflow único que pode ser mantido separadamente para melhorar a eficiência.",electron/electron,CLAUDE.md,COPILOT
"{'overlap_de_regras': 0.05, 'especializacao': 0.9, 'risco_de_conflito': 0.05}",80,Complementares,"{'redundancias': ['Exemplos de instruções repetidas sem valor adicional', 'Uso excessivo de código'], 'conflitos': [], 'valor_agregado': 'Amanhã, com mais treinamento, os dois arquivos poderão se tornar mais úteis'}","Os arquivos apresentam instruções semelhantes, mas um foco diferente.",pytorch/pytorch,CLAUDE.md,COPILOT
"{'overlap_de_regras': 0.4, 'especializacao': 0.6, 'risco_de_conflito': 0}",70,Redundantes,"{'redundancias': ['documentação de código, regras de segurança e performance'], 'conflitos': [], 'valor_agregado': 'Os arquivos têm objetivos diferentes e podem gerar confusão se mantidos juntos.'}","A análise revelou que os dois arquivos têm regras semelhantes, mas com diferentes focos. Embora haja algumas redundâncias, a especialização dos arquivos pode ser útil para desenvolvedores com objetivos específicos.",metabase/metabase,CLAUDE.md,COPILOT
"{'overlap_de_regras': 0.4, 'especializacao': 0.7, 'risco_de_conflito': 0.1}",60,Independentes,"{'redundancias': ['uso desnecessário de funções repetidas'], 'conflitos': [], 'valor_agregado': 'Os arquivos são únicos e não há conflito'}",Ambos os arquivos têm comportamentos distintos e podem ser mantidos separados.,vitessio/vitess,CLAUDE.md,COPILOT
"{'overlap_de_regras': 0.5, 'especializacao': 0.8, 'risco_de_conflito': 0.1}",70,Complementares,"{'redundancias': [""Tópicos como 'sempre use Python', 'não use comentários' que se repetem""], 'conflitos': [], 'valor_agregado': 'É recomendável manter os dois arquivos separados para evitar conflitos e melhorar a especialização.'}","Os dois arquivos apresentam uma boa compatibilidade, mas há espaço para otimização e redução de redundância.",compiler-explorer/compiler-explorer,CLAUDE.md,COPILOT
"{'overlap_de_regras': 0.3, 'especializacao': 0.7, 'risco_de_conflito': 0.1}",60,Conflitantes,"{'redundancias': ['Repetição exata ou parafraseada de instruções'], 'conflitos': [""A instrução 'never mark a task complete without proving it works' se contradiz com a regra do Arquivo A"", ""A instrução 'Use plan mode for verification steps, not just building' se contradiz com a regra do Arquivo B""], 'valor_agregado': 'Os dois arquivos apresentam comportamentos contraditórios e não oferecem valor agregado ao manter separados.'}","Os dois arquivos presentam instruções que se contradizem, tornando redundantes.",cypress-io/cypress,AGENTS.md,CLAUDE.md
"{'overlap_de_regras': 0.4, 'especializacao': 0.6, 'risco_de_conflito': 0.0}",80,Complementares,"{'redundancias': ['instruções gerais', 'comandos técnicos repetidos'], 'conflitos': [], 'valor_agregado': 'Ambos os arquivos contêm instruções gerais importantes.'}","Os dois arquivos possuem instruções semelhantes, mas o arquivo A tem instruções mais específicas para um workflow particular.",facebook/rocksdb,AGENTS.md,CLAUDE.md
"{'overlap_de_regras': 0.5, 'especializacao': 0.6, 'risco_de_conflito': 0.2}",70,Conflitantes,"{'redundancias': ['instruções relacionadas a build e deploy, como pnpm install e pnpm dev'], 'conflitos': [""instruções que contradizem, como 'sempre use Python', ou comandos repetidos ou desnecessários""], 'valor_agregado': 'Ambos os arquivos devem ser mantidos separados para evitar conflitos e melhorar a especialização.'}","Os dois arquivos apresentam várias instruções semelhantes, mas com algumas diferenças que podem causar conflitos. Manter cada um separado pode ajudar a garantir a precisão e estabilidade do processo de construção.",directus/directus,AGENTS.md,COPILOT
"{'overlap_de_regras': 0.01, 'especializacao': 0.99, 'risco_de_conflito': 0.02}",50,Redundantes,"{'redundancias': ['Repetição de instruções relacionadas a build e configuração'], 'conflitos': [], 'valor_agregado': 'O arquivo B pode ser considerado um complemento do A, pois oferece opções adicionais para o desenvolvedor'}","A análise dos arquivos revelou uma forte redundância na execução de tarefas relacionadas a build e configuração, destacando a necessidade de manter os dois arquivos separados para evitar conflitos desnecessários.",denoland/deno,CLAUDE.md,COPILOT
"{'overlap_de_regras': 0.8, 'especializacao': 0.4, 'risco_de_conflito': 0.6}",70,Redundantes,"{'redundancias': ['Uso de comandos semelhantes em ambos os arquivos', 'Repetição de instruções de teste'], 'conflitos': [], 'valor_agregado': 'Embora haja algumas redundâncias, é recomendável manter o Arquivo A focando em um workflow específico enquanto o B foca em outro.'}","Os dois arquivos compartilham muitas semelhanças, mas a redundância de instruções e comandos sugere que podem ser unificados ou reestruturados para melhorar a eficiência.",remix-run/react-router,AGENTS.md,CLAUDE.md
"{'overlap_de_regras': 0.5, 'especializacao': 0.8, 'risco_de_conflito': 0.1}",85,Complementares,"{'redundancias': ['regras relacionadas a atualização de configurações'], 'conflitos': [], 'valor_agregado': 'Valeria a pena manter os dois arquivos separados para garantir que regras não sejam contraditórias.'}","O Arquivo B tem algumas regras repetidas do Arquivo A, mas há um foco claro em desenvolvimento semelhante, permitindo que os dois arquivos sejam mantidos separados para evitar conflitos.",azure/azure-sdk-for-net,AGENTS.md,COPILOT
"{'overlap_de_regras': 0.4, 'especializacao': 0.6, 'risco_de_conflito': 0.2}",70,Redundantes,"{'redundancias': ['repetição de instruções relacionadas a módulos de suporte'], 'conflitos': [], 'valor_agregado': 'A existência de múltiplos arquivos agrega valor real, mas geram sobrecarga cognitiva.'}","Os dois arquivos têm instruções técnicas repetidas e não apresentam conflitos significativos, tornando um dos arquivos desnecessário.",apereo/cas,AGENTS.md,COPILOT
"{'overlap_de_regras': 0.5, 'especializacao': 0.75, 'risco_de_conflito': 0.25}",80,Conflitantes | Independentes,"{'redundancias': ['comandos repetidos', 'estruturas semelhantes'], 'conflitos': ['instruções contradictórias sobre uso de arquivos'], 'valor_agregado': 'Manter os dois arquivos separados para evitar conflitos e melhorar a especificidade.'}","Os arquivos têm muitas repetições e conflitos, o que pode afetar a precisão do modelo.",automattic/wp-calypso,AGENTS.md,CLAUDE.md
"{'overlap_de_regras': 0.01, 'especializacao': 0.1, 'risco_de_conflito': 0.05}",80,Complementares,"{'redundancias': ['ações de configuração que são semelhantes em ambos arquivos, mas não essenciais'], 'conflitos': None, 'valor_agregado': 'Embora os dois arquivos tenham algumas ações semelhantes, eles servem para diferentes propósitos e não há conflito significativo.'}","Os dois arquivos têm algumas ações semelhantes, mas cada um tem seu próprio valor único. Manter ambos arquivos pode ser útil para uma visão mais completa do processo de entrega.",conda/conda,AGENTS.md,COPILOT
"{'overlap_de_regras': 0.4, 'especializacao': 0.6, 'risco_de_conflito': 0.1}",70,Complementares,"{'redundancias': ['uso de estruturas repetidas para armazenamento'], 'conflitos': ['ordem contraditória entre os dois arquivos'], 'valor_agregado': 'A presença de conflitos justifica a manutenção dos dois arquivos separados.'}","A análise revelou uma forte semelhança semântica e um alto risco de conflito, mas também identificou áreas onde os dois arquivos podem complementar uns aos outros.",apache/shardingsphere,AGENTS.md,CLAUDE.md
"{'overlap_de_regras': 0.4, 'especializacao': 0.6, 'risco_de_conflito': 0.1}",60,Complementares,"{'redundancias': [""A instrução sobre a utilização do comando 'docker', que aparece em ambos os arquivos com estruturas semelhantes""], 'conflitos': [], 'valor_agregado': 'Os dois arquivos possuem pontos de especializaº que os tornam úteis juntos.'}","Embora exista alguma repetiÇão em comandos, os dois arquivos apresentam pontos únicos que refor3m a funcionalidade geral do sistema.",opf/openproject,AGENTS.md,COPILOT
"{'overlap_de_regras': 0.05, 'especializacao': 0.98, 'risco_de_conflito': 0.02}",80,Complementares,"{'redundancias': ['Comandos repetidos ou desnecessários'], 'conflitos': [], 'valor_agregado': 'A presença de instruções que não adicionam valor ao sistema.'}","Os dois arquivos apresentam uma boa similitude em termos de regras e procedimentos, com pouca redundância e sem conflitos significativos. Os comandos repetidos ou desnecessários são listados abaixo, sugerindo que a manutenção dos dois arquivos separados não é essencial.",azure/azure-sdk-for-python,AGENTS.md,COPILOT
"{'overlap_de_regras': 0.4, 'especializacao': 0.8, 'risco_de_conflito': 0.1}",80,Complementares,"{'redundancias': ['estrutura de arquivos semelhantes'], 'conflitos': [], 'valor_agregado': 'Valeria a pena manter o arquivo A focando em um workflow específico enquanto o B foca em outro, pois os dois têm um nível razoável de especialização.'}","Os arquivos têm uma estrutura semelhante e compartilham alguns comandos técnicos, mas também apresentam diferencias significativas na sua abordagem.",azure/azure-sdk-for-java,AGENTS.md,COPILOT
"{'overlap_de_regras': 0.8, 'especializacao': 0.1, 'risco_de_conflito': 0.1}",80,Redundantes,"{'redundancias': ['Instruções de deploy, scripts e testes repetidos'], 'conflitos': [], 'valor_agregado': 'Os dois arquivos apresentam instruções muito semelhantes, tornando desnecessário manter ambos separados.'}","Apesar da grande semelhança entre os arquivos, a redundância de instruções e scripts torna inviável manter ambos arquivos separados.",mochajs/mocha,AGENTS.md,COPILOT
"{'overlap_de_regras': 0.5, 'especializacao': 0.9, 'risco_de_conflito': 0.1}",80,Conflitantes,"{'redundancias': [""Repetição de instruções como 'sempre use Python' e 'não use comentários'""], 'conflitos': [""A combinação de regras como 'Update documentation.' e 'não use comentários' pode causar conflito""], 'valor_agregado': 'Devido à presença de instruções contraditórias, é recomendável manter os dois arquivos separados'}","Embora haja algumas regras repetidas, a presença de instruções contraditórias justifica a classificação como Conflitantes.",quarkusio/quarkus,AGENTS.md,CLAUDE.md
"{'overlap_de_regras': 0.05, 'especializacao': 0.7, 'risco_de_conflito': 0.01}",80,Complementares,"{'redundancias': ['Foco nos arquivos em si mesmos, com instruções de configuração específicas'], 'conflitos': [], 'valor_agregado': 'Os dois arquivos têm instruções únicas que complementam um ao outro.', ""},  # Adicione mais detalhes se quiser. Exemplo abaixo: 'justificativa_final': 'As instruções no Arquivo A estão relacionadas a configuração específica do workflow, enquanto o Arquivo B abrange uma maior variedade de funcionalidades.' }# Adicione mais detalhes se quiser. Exemplo abaixo: 'classificacao': "": '}  # Troque por classificação adequada.  '}",,internetarchive/openlibrary,AGENTS.md,COPILOT
"{'overlap_de_regras': 0.1, 'especializacao': 0.7, 'risco_de_conflito': 0.05}",80,Complementares,"{'redundancias': ['repetição exata de instruções de inicialização do sistema'], 'conflitos': [], 'valor_agregado': 'Valeria a pena manter os dois arquivos separados, pois ambos fornecem informações complementares sobre o workflow e a funcionalidade do sistema.'}","Os dois arquivos apresentam uma boa compatibilidade semântica, com uma relação próxima de 80% entre as instruções. Isso sugere que ambas as instruções fornecem informações complementares sobre o workflow e a funcionalidade do sistema.",microsoft/playwright,CLAUDE.md,COPILOT
"{'overlap_de_regras': 0.8, 'especializacao': 0.4, 'risco_de_conflito': 0.6}",80,Redundantes,"{'redundancias': ['Todas as instruções relacionadas a estruturas de diretórios e commitar os módulos do projeto.', ""A instrução 'use gh' é repetida sem necessidade.""], 'conflitos': ['Nenhuma instrução se contradiz, mas há redundância nas instruções relacionadas a estrutura dos diretórios e uso de git.'], 'valor_agregado': 'Se os dois arquivos forem mantidos juntos, pode gerar confusão para quem não está familiarizado com o projeto. A recomendação é manter um arquivo focado nos passos gerais de trabalho do repositório.'}","O Arquivo B tem instruções repetidas do Arquivo A e algumas instruções que podem ser úteis, mas geram possibilidade de confusão. É recomendável manter os dois arquivos com algumas redundâncias, mas mantendo a integridade dos passos gerais de trabalho.",swc-project/swc,AGENTS.md,CLAUDE.md
"{'overlap_de_regras': 0.05, 'especializacao': 0.95, 'risco_de_conflito': 0.0}",75,Complementares,"{'redundancias': ['Repetição de instruções relacionadas a regras de especialização'], 'conflitos': [], 'valor_agregado': 'Os dois arquivos podem ser mantidos separados, pois cada um tem sua própria abordagem única.'}","Os arquivos A e B apresentam uma grande semelhança nos seus padrões de especialização, mas com focos diferentes em workflows. Isso sugere que os dois arquivos podem ser mantidos separados para garantir a eficiência e a precisão dos processos.",apache/pinot,AGENTS.md,COPILOT
"{'overlap_de_regras': 0.1, 'especializacao': 0.5, 'risco_de_conflito': 0.3}",75,Complementares,"{'redundancias': ['Falta de especialização em técnicas específicas'], 'conflitos': [], 'valor_agregado': 'Os dois arquivos compartilham algumas regras, mas o Arquivo B tem uma abordagem mais generalizada e inclusiva.'}","Ambos os arquivos apresentam elementos de redundância em suas regras e técnicas, mas o Arquivo B apresenta uma especialização maior em áreas específicas.",apache/pinot,CLAUDE.md,COPILOT
"{'overlap_de_regras': 0.5, 'especializacao': 0.75, 'risco_de_conflito': 0.1}",80,Conflitantes | Independentes,"{'redundancias': ['Comandos como `git fetch upstream main` e `git switch -c <branch>` se repetem na ambos os arquivos.', 'Uso de atributos como `[GenerateSerializer]` em ambos os arquivos.'], 'conflitos': ['Ordens que contradizem cada outra, como a exclusão do uso de comentários em `CONTRIBUTING.md` e a presença de opções em `Orleans.Configuration`.', 'Falta de especificação de workflows específicos em ambos os arquivos.'], 'valor_agregado': 'Valeria a pena manter os dois arquivos separados para evitar conflitos e garantir a especialização de cada um.'}","Os arquivos apresentam uma grande semelhança, mas com alguns conflitos que necessitam ser resolvidos antes de considerar sua manutenção conjunta.",dotnet/orleans,AGENTS.md,COPILOT
"{'overlap_de_regras': 0.02, 'especializacao': 0.98, 'risco_de_conflito': 0.0}",80,Complementares,"{'redundancias': ['Repetição de regras de código', 'Uso excessivo de templates'], 'conflitos': [], 'valor_agregado': 'Os dois arquivos complementam-se bem, pois o primeiro fornece regras gerais e o segundo fornece orientações específicas.'}","A análise revelou que os dois arquivos têm pouca similaridade em termos de regras e regulações, mas com uma boa distribuição de especialização. O Arquivo A tem mais regras gerais e o Arquivo B tem orientações específicas.",gnachman/iterm2,AGENTS.md,CLAUDE.md
